id,idcliente,estado,anom,,
74145,J-453-8543969-F,3646/134602-6299,1,0,
74168,R-468-8544016-K,3600/587926-5996,1,0,
74191,E-537-8544063-L,3630/050694-5270,1,0,
74214,T-349-8544110-M,3699/033731-0163,1,0,
74237,Y-393-8544157-L,3695/243645-9671,1,0,
74260,Y-242-8544204-B,3607/885031-0271,1,0,
74283,O-535-8544251-W,3604/743659-4252,1,0,
74306,A-298-8544298-T,3650/177457-3757,1,0,
74329,S-378-8544345-C,3605/953919-1829,1,0,
74352,U-448-8544392-G,3603/472514-5301,1,0,
74375,I-481-8544439-M,3609/832006-0868,1,1,
74398,B-507-8544486-P,3612/198420-0909,1,0,
74421,O-275-8544533-D,3617/072614-3307,1,0,
74444,E-446-8544580-C,3610/709945-8615,1,0,
74467,U-313-8544627-B,3630/679053-7319,1,0,
74490,V-486-8544674-Z,3606/119381-3300,1,1,
74513,K-326-8544721-P,3625/813244-8202,1,1,
74536,W-456-8544768-Z,3625/813244-8202,1,0,
74559,U-276-8544815-Y,3681/466002-9473,1,0,
74582,N-342-8544862-B,3693/057618-2840,1,0,
74605,O-399-8544909-X,3665/466824-4736,1,1,
74628,U-264-8544956-R,3673/184762-6510,1,0,
74651,Z-472-8545003-O,3647/686352-9236,1,0,
74674,M-422-8545050-D,3622/168155-3988,1,0,
74697,U-294-8545097-E,3665/558126-7035,1,1,
74720,A-515-8545144-O,3675/382555-2005,1,0,
74743,S-356-8545191-P,3685/465317-5669,1,1,
74766,H-420-8545238-K,3697/221054-4548,1,0,
74789,P-376-8545285-B,3608/676458-1994,1,0,
74812,W-455-8545332-O,3665/528286-9246,1,0,
74835,C-386-8545379-M,3610/963108-3877,1,0,
74858,Y-401-8545426-H,3607/621341-8237,1,0,
74881,J-279-8545473-M,3688/993491-9386,1,1,
74904,I-370-8545520-W,3664/137999-5425,1,0,
74927,U-315-8545567-D,3657/107878-3238,1,0,
74950,S-408-8545614-L,3634/668201-9513,1,0,
74973,O-351-8545661-I,3649/041065-5741,1,0,
74996,E-517-8545708-N,3628/745782-9803,1,0,
75019,U-533-8545755-M,3674/464494-0760,1,0,
75042,F-373-8545802-Z,3600/587926-5996,1,0,
75065,F-293-8545849-A,3662/469435-1862,1,0,
75088,N-303-8545896-R,3659/907777-3355,1,0,
75111,A-354-8545943-J,3609/961819-3684,1,0,
75134,Z-292-8545990-R,3652/898935-9268,1,0,
75157,L-392-8546037-E,3646/146347-1351,1,0,
75180,V-465-8546084-S,3600/934453-0737,1,1,
75203,J-233-8546131-S,3690/040744-2143,1,0,
75226,E-301-8546178-K,3654/657315-8201,1,0,
75249,Q-535-8546225-G,3663/522670-2208,1,1,
75272,B-368-8546272-H,3619/030179-6469,1,0,
75295,H-492-8546319-X,3654/766784-7568,1,0,
75318,F-232-8546366-V,3671/933456-7461,1,0,
75341,I-318-8546413-V,3619/525221-1137,1,0,
75364,I-384-8546460-H,3656/139069-0864,1,0,
75387,G-505-8546507-F,3633/794262-9522,1,0,
75410,V-347-8546554-S,3644/884275-8715,1,0,
75433,Y-492-8546601-U,3645/512004-0369,1,0,
75456,X-412-8546648-Q,3635/302001-3919,1,0,
75479,H-236-8546695-F,3670/836405-9150,1,1,
75502,C-233-8546742-X,3666/528140-1768,1,0,
75525,E-490-8546789-Y,3621/620868-9380,1,1,
75548,V-414-8546836-N,3636/592548-4896,1,0,
75571,A-419-8546883-S,3640/530163-0827,1,0,
75594,C-435-8546930-C,3613/256485-2787,1,0,
75617,I-468-8546977-W,3690/131520-7016,1,0,
75640,O-535-8547024-F,3606/119381-3300,1,1,
75663,B-284-8547071-C,3666/802573-7406,1,0,
75686,E-349-8547118-H,3606/022030-0257,1,0,
75709,Y-473-8547165-M,3656/086979-3571,1,0,
75732,H-345-8547212-B,3699/090587-3006,1,0,
75755,S-533-8547259-A,3669/446328-6763,1,1,
75778,G-384-8547306-T,3665/528286-9246,1,0,
75801,B-410-8547353-K,3652/424561-8571,1,1,
75824,G-503-8547400-O,3600/593918-7149,1,0,
75847,P-460-8547447-S,3613/242284-2780,1,0,
75870,I-287-8547494-O,3690/253689-5118,1,0,
75893,H-369-8547541-E,3644/364878-8487,1,0,
75916,W-237-8547588-K,3608/932526-4662,1,0,
75939,V-316-8547635-K,3697/111146-8120,1,0,
75962,G-400-8547682-A,3607/940607-5665,1,0,
75985,D-463-8547729-G,3667/898949-0751,1,1,
76008,E-452-8547776-F,3606/564188-2189,1,0,
76031,B-302-8547823-C,3672/113356-1000,1,0,
76054,M-244-8547870-R,3629/066427-5042,1,0,
76077,K-243-8547917-R,3683/507771-7715,1,1,
76100,M-350-8547964-U,3676/328537-5854,1,0,
76123,L-363-8548011-T,3637/863366-6431,1,0,
76146,V-396-8548058-N,3650/240235-5302,1,0,
76169,L-372-8548105-U,3657/062273-7120,1,0,
76192,Y-537-8548152-S,3694/264440-2282,1,0,
76215,D-307-8548199-R,3629/066427-5042,1,0,
76238,C-488-8548246-K,3630/055566-2768,1,0,
76261,W-304-8548293-W,3619/615627-0252,,,
76284,O-475-8548340-S,3611/778582-4673,,,
76307,E-325-8548387-U,3676/637001-8552,,,
76330,T-452-8548434-A,3637/348337-6231,,,
76353,Z-401-8548481-N,3603/173118-4563,,,
76376,N-283-8548528-H,3642/851043-4807,,,
76399,J-308-8548575-E,3620/601392-4676,,,
76422,D-249-8548622-A,3621/081318-7310,,,
76445,Z-290-8548669-S,3605/665449-3063,,,
76468,R-290-8548716-T,3646/289449-3444,,,
76491,J-519-8548763-H,3633/549976-6622,,,
76514,B-460-8548810-M,3697/830818-9542,,,
76537,N-502-8548857-A,3698/631919-4633,,,
76560,U-339-8548904-B,3666/950411-6013,,,
76583,X-377-8548951-D,3611/037567-0515,,,
76606,R-332-8548998-U,3662/743145-8247,,,
76629,I-515-8549045-O,3620/287559-7320,,,
76652,U-464-8549092-D,3682/519362-9183,,,
76675,I-490-8549139-L,3610/667143-5405,,,
76698,V-504-8549186-D,3672/083974-1619,,,
76721,F-388-8549233-C,3610/644794-2577,,,
76744,O-361-8549280-X,3613/722345-8058,,,
76767,X-520-8549327-T,3603/105354-6365,,,
76790,H-504-8549374-Y,3675/392770-5105,,,
76813,N-304-8549421-L,3691/125371-8270,,,
76836,M-352-8549468-R,3629/109344-7723,,,
76859,V-385-8549515-Z,3669/159548-8234,,,
76882,A-417-8549562-H,3607/306283-0364,,,
76905,W-327-8549609-N,3681/297256-4344,,,
76928,E-481-8549656-A,3646/425801-1366,,,
76951,Y-276-8549703-S,3650/646106-9027,,,
76974,I-271-8549750-K,3640/512015-8794,,,
76997,Y-496-8549797-W,3621/978776-5944,,,
77020,D-528-8549844-I,3613/807292-1519,,,
77043,J-407-8549891-X,3692/528931-6123,,,
77066,Z-378-8549938-O,3616/048158-4803,,,
77089,D-492-8549985-Z,3661/267131-7501,,,
77112,B-459-8550032-X,3681/208579-2550,,,
77135,U-376-8550079-J,3660/769479-2466,,,
77158,T-446-8550126-O,3601/506315-1415,,,
77181,E-482-8550173-V,3622/094156-5113,,,
77204,A-411-8550220-F,3684/319454-1802,,,
77227,H-388-8550267-S,3666/528140-1768,,,
77250,Z-480-8550314-T,3656/173580-5623,,,
77273,B-364-8550361-C,3685/019715-3931,,,
77296,R-326-8550408-T,3657/586912-6150,,,
77319,L-386-8550455-L,3685/737353-9940,,,
77342,Q-423-8550502-K,3686/699468-0207,,,
77365,H-534-8550549-I,3618/155527-5870,,,
77388,G-250-8550596-V,3682/531693-2282,,,
77411,R-231-8550643-T,3648/522358-5374,,,
77434,U-258-8550690-Q,3691/125371-8270,,,
77457,P-440-8550737-B,3663/044249-2999,,,
77480,M-329-8550784-Z,3655/640042-0880,,,
77503,Z-422-8550831-R,3666/950411-6013,,,
77526,A-522-8550878-E,3665/611263-8033,,,
77549,N-532-8550925-J,3684/111304-2761,,,
77572,S-485-8550972-J,3632/613855-6425,,,
77595,E-532-8551019-R,3679/984494-5266,,,
77618,X-413-8551066-I,3651/818921-2268,,,
77641,C-405-8551113-Z,3628/457859-2329,,,
77664,O-332-8551160-Z,3626/064704-0607,,,
77687,B-393-8551207-B,3608/932526-4662,,,
77710,C-481-8551254-Y,3658/341450-1273,,,
77733,M-246-8551301-O,3671/631254-4132,,,
77756,B-385-8551348-N,3638/101815-2951,,,
77779,B-258-8551395-E,3665/446167-3024,,,
77802,R-287-8551442-H,3626/867557-6087,,,
77825,N-320-8551489-O,3614/162305-3535,,,
77848,P-256-8551536-R,3610/337721-9332,,,
77871,J-469-8551583-K,3646/693861-5771,,,
77894,L-442-8551630-D,3628/189148-8797,,,
77917,S-362-8551677-N,3635/213220-2865,,,
77940,Y-316-8551724-D,3682/519362-9183,,,
77963,B-394-8551771-R,3676/733058-1184,,,
77986,P-415-8551818-V,3615/500794-2931,,,
78009,Y-263-8551865-F,3643/757170-6284,,,
78032,A-505-8551912-Q,3615/500794-2931,,,
78055,M-338-8551959-M,3610/566487-1410,,,
78078,K-300-8552006-E,3662/469435-1862,,,
78101,G-337-8552053-S,3610/133734-9181,,,
78124,J-306-8552100-K,3649/695092-7499,,,
78147,G-328-8552147-Y,3629/912296-7660,,,
78170,K-399-8552194-S,3684/143445-1162,,,
78193,T-349-8552241-J,3630/679053-7319,,,
78216,A-346-8552288-V,3633/903237-3425,,,
78239,I-432-8552335-R,3613/842809-3385,,,
78262,O-293-8552382-Z,3694/848638-2961,,,
78285,Z-303-8552429-K,3604/366055-8105,,,
78308,A-495-8552476-K,3684/217045-1010,,,
78331,B-335-8552523-W,3667/624092-9260,,,
78354,G-333-8552570-C,3622/639493-0118,,,
78377,G-486-8552617-L,3636/984399-2683,,,
78400,F-389-8552664-E,3654/290339-6348,,,
78423,V-416-8552711-H,3682/041809-4487,,,
78446,L-357-8552758-B,3657/107878-3238,,,
78469,J-262-8552805-H,3650/645368-9956,,,
78492,X-367-8552852-B,3611/381994-2235,,,
78515,E-396-8552899-Y,3600/587926-5996,,,
78538,L-536-8552946-X,3696/801721-6975,,,
78561,N-425-8552993-J,3601/588892-1828,,,
78584,Z-288-8553040-M,3634/546169-9461,,,
78607,O-292-8553087-B,3665/349731-0734,,,
78630,R-344-8553134-E,3611/660310-9440,,,
78653,I-316-8553181-T,3685/019715-3931,,,
78676,T-385-8553228-L,3623/688513-9079,,,
78699,N-360-8553275-S,3679/413639-2814,,,
78722,Q-491-8553322-J,3615/645068-9888,,,
78745,M-236-8553369-E,3624/042914-3936,,,
78768,P-362-8553416-B,3610/337721-9332,,,
78791,C-325-8553463-V,3681/466002-9473,,,
78814,O-346-8553510-T,3618/409984-7105,,,
78837,F-252-8553557-N,3655/030622-8166,,,
78860,S-341-8553604-T,3665/129679-9446,,,
78883,C-369-8553651-X,3619/106291-6619,,,
78906,Y-295-8553698-W,3697/306023-4529,,,
78929,B-409-8553745-Y,3667/731887-7852,,,
78952,J-291-8553792-I,3610/049297-8123,,,
78975,M-521-8553839-N,3649/923114-8976,,,
78998,L-270-8553886-Y,3692/980753-0108,,,
79021,S-346-8553933-R,3620/650214-1592,,,
79044,S-425-8553980-C,3618/374307-7168,,,
79067,G-397-8554027-Y,3614/607185-8350,,,
79090,R-403-8554074-B,3684/802233-3637,,,
79113,A-462-8554121-K,3602/601490-3416,,,
79136,V-529-8554168-T,3638/139818-6637,,,
79159,A-391-8554215-R,3697/696067-0239,,,
79182,D-247-8554262-G,3655/405558-1817,,,
79205,Y-426-8554309-V,3613/349144-4284,,,
79228,X-281-8554356-M,3613/807292-1519,,,
79251,T-523-8554403-Q,3652/665292-7767,,,
79274,U-490-8554450-I,3669/117891-1966,,,
79297,C-432-8554497-K,3688/955803-1542,,,
79320,K-389-8554544-U,3692/378426-2009,,,
79343,E-366-8554591-X,3650/120233-1802,,,
79366,D-291-8554638-J,3607/940607-5665,,,
79389,O-413-8554685-A,3667/582951-3958,,,
79412,M-372-8554732-W,3613/722345-8058,,,
79435,F-396-8554779-U,3671/631254-4132,,,
79458,Z-505-8554826-N,3611/037567-0515,,,
79481,O-396-8554873-M,3628/945133-0895,,,
79504,K-508-8554920-C,3663/805075-4329,,,
79527,C-311-8554967-N,3692/863436-2230,,,
79550,O-406-8555014-R,3629/109344-7723,,,
79573,W-439-8555061-A,3610/649016-6389,,,
79596,T-304-8555108-Q,3652/639800-3493,,,
79619,E-535-8555155-G,3689/630531-9518,,,
79642,V-475-8555202-B,3618/409984-7105,,,
79665,K-425-8555249-D,3620/003448-0644,,,
79688,C-525-8555296-Z,3666/950411-6013,,,
79711,H-416-8555343-V,3689/335348-2330,,,
79734,N-474-8555390-I,3699/090587-3006,,,
79757,X-497-8555437-X,3674/229183-3437,,,
79780,Y-363-8555484-B,3696/114492-1591,,,
79803,N-505-8555531-A,3617/396102-6518,,,
79826,J-456-8555578-G,3616/785810-1269,,,
79849,B-449-8555625-T,3658/135288-5740,,,
79872,S-326-8555672-B,3650/565206-5596,,,
79895,M-309-8555719-P,3680/164395-9652,,,
79918,Y-468-8555766-M,3635/132182-6872,,,
79941,N-399-8555813-G,3624/058854-4619,,,
79964,D-285-8555860-Q,3696/492616-1626,,,
79987,E-448-8555907-M,3657/062273-7120,,,
80010,H-478-8555954-O,3671/881631-1943,,,
80033,K-445-8556001-K,3620/601392-4676,,,
80056,K-323-8556048-A,3612/091269-4548,,,
80079,H-254-8556095-B,3673/622518-8074,,,
80102,S-484-8556142-D,3646/622638-6580,,,
80125,C-417-8556189-I,3610/133734-9181,,,
80148,J-477-8556236-X,3697/111146-8120,,,
80171,S-398-8556283-E,3664/457172-3215,,,
80194,V-331-8556330-L,3640/512015-8794,,,
80217,B-270-8556377-N,3622/480061-4582,,,
80240,N-239-8556424-Q,3677/944613-6696,,,
80263,K-414-8556471-F,3666/950411-6013,,,
80286,U-292-8556518-S,3612/152626-1286,,,
80309,M-409-8556565-O,3607/306283-0364,,,
80332,L-520-8556612-J,3675/542127-5345,,,
80355,Y-503-8556659-Z,3629/912296-7660,,,
80378,O-495-8556706-E,3606/119381-3300,,,
80401,J-517-8556753-K,3680/704676-0415,,,
80424,M-240-8556800-M,3645/784122-5386,,,
80447,E-247-8556847-E,3663/720471-2159,,,
80470,H-292-8556894-P,3619/585262-7070,,,
80493,Q-435-8556941-K,3679/056296-6741,,,
80516,O-401-8556988-Z,3611/860775-5756,,,
80539,T-519-8557035-F,3678/343786-7814,,,
80562,B-439-8557082-E,3674/518509-0394,,,
80585,Q-445-8557129-L,3665/349731-0734,,,
80608,Z-326-8557176-N,3626/315349-2501,,,
80631,J-535-8557223-X,3671/831150-3994,,,
80654,C-365-8557270-S,3671/371016-1932,,,
80677,M-524-8557317-E,3636/505005-8697,,,
80700,M-474-8557364-A,3608/736579-9373,,,
80723,H-252-8557411-G,3606/372020-8715,,,
80746,C-481-8557458-I,3606/150112-1628,,,
80769,P-495-8557505-S,3618/615983-0814,,,
80792,B-266-8557552-O,3635/998866-1631,,,
80815,V-314-8557599-B,3699/851419-2619,,,
80838,Q-362-8557646-Z,3684/497978-6174,,,
80861,J-368-8557693-P,3683/226711-9554,,,
80884,K-502-8557740-J,3646/146347-1351,,,
80907,V-407-8557787-M,3635/684548-9693,,,
80930,A-317-8557834-N,3607/306283-0364,,,
80953,W-532-8557881-E,3620/910642-5320,,,
80976,R-252-8557928-I,3638/462914-1066,,,
80999,I-392-8557975-F,3671/010606-4860,,,
81022,D-361-8558022-J,3687/574984-4125,,,
81045,Y-310-8558069-S,3671/881631-1943,,,
81068,V-514-8558116-E,3655/405558-1817,,,
81091,Q-283-8558163-C,3650/645368-9956,,,
81114,F-238-8558210-O,3633/794262-9522,,,
81137,H-502-8558257-Q,3683/226711-9554,,,
81160,R-519-8558304-A,3613/031282-2722,,,
81183,C-392-8558351-B,3674/828163-0519,,,
81206,A-349-8558398-U,3695/997309-5834,,,
81229,B-473-8558445-I,3632/578211-7799,,,
81252,U-398-8558492-Z,3635/684548-9693,,,
81275,N-386-8558539-L,3638/755770-0316,,,
81298,K-327-8558586-O,3693/880574-9214,,,
81321,K-322-8558633-L,3639/757430-5916,,,
81344,J-532-8558680-U,3677/970201-4025,,,
81367,O-341-8558727-E,3620/287559-7320,,,
81390,P-328-8558774-W,3674/441284-6397,,,
81413,L-472-8558821-X,3657/530210-2024,,,
81436,D-357-8558868-Z,3691/170935-6915,,,
81459,H-491-8558915-U,3640/077994-6474,,,
81482,K-480-8558962-R,3607/341224-7137,,,
81505,P-350-8559009-N,3655/422588-0529,,,
81528,M-252-8559056-M,3632/842626-5230,,,
81551,O-363-8559103-V,3601/111692-9469,,,
81574,L-435-8559150-Y,3673/857184-4748,,,
81597,O-243-8559197-Y,3635/069287-1699,,,
81620,I-503-8559244-E,3650/565206-5596,,,
81643,C-376-8559291-Z,3697/382941-9221,,,
81666,T-292-8559338-Z,3600/593918-7149,,,
81689,M-528-8559385-F,3667/103562-6908,,,
81712,A-341-8559432-E,3608/676458-1994,,,
81735,U-474-8559479-Q,3615/165554-3162,,,
81758,K-306-8559526-T,3636/087437-6318,,,
81781,C-331-8559573-W,3659/565454-9432,,,
81804,Z-406-8559620-P,3663/315814-3202,,,
81827,Q-428-8559667-N,3627/945324-8732,,,
81850,A-269-8559714-T,3681/208579-2550,,,
81873,I-377-8559761-A,3691/597442-1163,,,
81896,C-279-8559808-I,3683/446272-0137,,,
81919,F-511-8559855-F,3635/592384-1841,,,
81942,D-478-8559902-Z,3654/479036-1807,,,
81965,B-231-8559949-F,3624/849011-8877,,,
81988,X-514-8559996-P,3693/658035-5215,,,
82011,J-525-8560043-V,3641/112716-3449,,,
82034,G-288-8560090-U,3655/437724-2726,,,
82057,V-292-8560137-Y,3680/255554-0233,,,
82080,T-268-8560184-K,3656/900072-4809,,,
82103,F-414-8560231-D,3692/378426-2009,,,
82126,V-269-8560278-E,3680/536652-2886,,,
82149,K-481-8560325-X,3620/003448-0644,,,
82172,B-404-8560372-N,3620/562580-1272,,,
82195,S-433-8560419-N,3654/715070-1348,,,
82218,G-295-8560466-J,3656/191071-6025,,,
82241,N-298-8560513-A,3635/592384-1841,,,
82264,Q-405-8560560-N,3668/958611-9271,,,
82287,A-528-8560607-W,3604/206152-2298,,,
82310,K-362-8560654-S,3691/938888-9296,,,
82333,A-445-8560701-Q,3622/168155-3988,,,
82356,X-258-8560748-O,3658/211810-2073,,,
82379,J-322-8560795-Q,3653/675388-6515,,,
82402,H-333-8560842-B,3678/158683-1607,,,
82425,O-457-8560889-W,3637/926843-4707,,,
82448,W-500-8560936-H,3637/863366-6431,,,
82471,G-282-8560983-F,3642/678281-9598,,,
82494,J-351-8561030-G,3606/353597-3370,,,
82517,H-408-8561077-W,3633/627052-1806,,,
82540,O-297-8561124-A,3692/237654-3750,,,
82563,C-359-8561171-H,3600/552473-6722,,,
82586,Y-262-8561218-W,3647/404879-0104,,,
82609,X-374-8561265-L,3628/051531-6491,,,
82632,P-299-8561312-Y,3641/692021-7631,,,
82655,Z-378-8561359-J,3672/003648-6695,,,
82678,M-393-8561406-P,3689/630531-9518,,,
82701,G-536-8561453-I,3620/025177-1410,,,
82724,B-526-8561500-P,3626/315349-2501,,,
82747,Y-486-8561547-D,3650/645368-9956,,,
82770,P-474-8561594-Z,3696/992342-0081,,,
82793,Z-396-8561641-O,3668/278450-6167,,,
82816,R-434-8561688-H,3647/175650-5377,,,
82839,G-299-8561735-Y,3609/738904-6552,,,
82862,X-338-8561782-I,3660/634068-2915,,,
82885,Q-499-8561829-R,3604/743659-4252,,,
82908,K-321-8561876-Q,3604/231275-7628,,,
82931,D-361-8561923-A,3614/829725-8977,,,
82954,Q-376-8561970-A,3684/802233-3637,,,
82977,N-324-8562017-N,3606/809927-0246,,,
83000,K-390-8562064-T,3618/409984-7105,,,
83023,W-421-8562111-X,3690/534774-9259,,,
83046,N-488-8562158-F,3665/644599-6264,,,
83069,N-278-8562205-A,3689/456257-2770,,,
83092,W-363-8562252-G,3670/476720-1721,,,
83115,J-301-8562299-R,3676/638689-7460,,,
83138,Y-414-8562346-Y,3613/031282-2722,,,
83161,I-428-8562393-P,3629/066427-5042,,,
83184,L-417-8562440-L,3606/282856-5562,,,
83207,J-448-8562487-N,3605/485755-3916,,,
83230,C-313-8562534-Z,3695/997309-5834,,,
83253,F-488-8562581-B,3639/418929-8537,,,
83276,N-417-8562628-N,3680/938865-1624,,,
83299,U-248-8562675-R,3640/845705-8199,,,
83322,U-346-8562722-G,3676/114239-4985,,,
83345,X-453-8562769-Y,3695/204263-5086,,,
83368,M-281-8562816-H,3610/644794-2577,,,
83391,V-448-8562863-Z,3623/040514-7258,,,
83414,M-531-8562910-E,3626/825183-4413,,,
83437,W-434-8562957-V,3603/620732-8206,,,
83460,W-278-8563004-L,3646/289449-3444,,,
83483,H-531-8563051-S,3680/467091-3972,,,
83506,R-349-8563098-F,3650/058076-6761,,,
83529,A-340-8563145-L,3648/077265-0950,,,
83552,I-482-8563192-S,3680/536652-2886,,,
83575,U-419-8563239-F,3658/135288-5740,,,
83598,C-244-8563286-N,3673/857184-4748,,,
83621,J-266-8563333-C,3624/253241-2828,,,
83644,C-441-8563380-K,3678/386576-3667,,,
83667,K-275-8563427-S,3680/779880-0229,,,
83690,A-487-8563474-R,3641/221893-6107,,,
83713,H-367-8563521-L,3610/963108-3877,,,
83736,K-481-8563568-K,3640/530163-0827,,,
83759,T-352-8563615-D,3636/621511-9127,,,
83782,P-319-8563662-G,3611/381994-2235,,,
83805,G-515-8563709-F,3604/747939-5187,,,
83828,N-337-8563756-Q,3610/247657-3078,,,
83851,L-359-8563803-E,3600/838622-6683,,,
83874,Q-359-8563850-X,3656/699640-0097,,,
83897,T-261-8563897-Q,3676/537193-5897,,,
83920,B-391-8563944-D,3683/378753-1773,,,
83943,E-312-8563991-X,3697/740436-5675,,,
83966,U-506-8564038-B,3644/805338-5984,,,
83989,J-367-8564085-M,3610/861565-5767,,,
84012,Z-392-8564132-W,3671/933456-7461,,,
84035,Z-275-8564179-N,3662/469435-1862,,,
84058,L-454-8564226-X,3638/383472-5804,,,
84081,E-375-8564273-X,3651/032150-0825,,,
84104,O-469-8564320-L,3605/428802-6128,,,
84127,W-330-8564367-W,3617/510016-7277,,,
84150,D-395-8564414-H,3651/130013-4313,,,
84173,V-474-8564461-L,3693/846525-4588,,,
84196,P-397-8564508-K,3690/253689-5118,,,
84219,D-498-8564555-A,3623/162864-8635,,,
84242,V-270-8564602-D,3616/534864-3932,,,
84265,M-297-8564649-O,3694/264440-2282,,,
84288,Q-269-8564696-D,3606/564188-2189,,,
84311,D-425-8564743-O,3663/522670-2208,,,
84334,G-296-8564790-N,3601/111692-9469,,,
84357,Y-504-8564837-U,3668/471724-8446,,,
84380,S-386-8564884-S,3601/122601-6512,,,
84403,D-419-8564931-Y,3649/923114-8976,,,
84426,X-535-8564978-G,3606/564188-2189,,,
84449,O-457-8565025-D,3629/745714-7254,,,
84472,W-410-8565072-Z,3637/637158-5086,,,
84495,A-492-8565119-L,3606/564188-2189,,,
84518,A-460-8565166-T,3640/610692-2245,,,
84541,O-340-8565213-P,3623/434036-9779,,,
84564,D-391-8565260-L,3661/826963-8661,,,
84587,V-502-8565307-I,3685/019715-3931,,,
84610,Z-495-8565354-M,3601/504678-7418,,,
84633,V-335-8565401-S,3694/575542-1009,,,
84656,N-432-8565448-B,3619/331793-9594,,,
84679,P-461-8565495-B,3682/514710-1123,,,
84702,N-452-8565542-B,3648/223403-4666,,,
84725,M-496-8565589-D,3699/399994-2695,,,
84748,D-523-8565636-F,3668/958611-9271,,,
84771,X-254-8565683-E,3688/827188-3676,,,
84794,T-474-8565730-B,3624/849011-8877,,,
84817,W-511-8565777-S,3673/761993-1970,,,
84840,U-317-8565824-S,3631/313710-3375,,,
84863,B-234-8565871-V,3647/175650-5377,,,
84886,W-535-8565918-C,3609/832006-0868,,,
84909,R-369-8565965-U,3657/621636-4544,,,
84932,W-282-8566012-M,3660/641577-5024,,,
84955,Q-378-8566059-Y,3686/520782-7670,,,
84978,G-459-8566106-P,3691/027368-6293,,,
85001,A-249-8566153-R,3604/747939-5187,,,
85024,N-492-8566200-P,3667/215680-1544,,,
85047,H-361-8566247-M,3680/536652-2886,,,
85070,N-470-8566294-O,3644/923529-0985,,,
85093,Y-300-8566341-T,3605/671002-7202,,,
85116,W-390-8566388-K,3659/907777-3355,,,
85139,G-255-8566435-C,3684/282509-4744,,,
85162,B-295-8566482-M,3649/619888-8479,,,
85185,M-304-8566529-I,3675/925839-2736,,,
85208,N-518-8566576-K,3696/992342-0081,,,
85231,H-510-8566623-A,3651/916529-1482,,,
85254,I-391-8566670-Y,3612/754660-5642,,,
85277,R-230-8566717-N,3674/956179-9263,,,
85300,K-457-8566764-D,3660/769479-2466,,,
85323,H-338-8566811-P,3608/932526-4662,,,
85346,X-278-8566858-T,3649/923114-8976,,,
85369,T-320-8566905-G,3607/608462-2974,,,
85392,H-336-8566952-P,3671/388510-6035,,,
85415,H-457-8566999-E,3698/631919-4633,,,
85438,X-454-8567046-I,3652/528152-0142,,,
85461,Y-368-8567093-W,3645/100130-1541,,,
85484,X-532-8567140-Q,3601/313282-1696,,,
85507,O-436-8567187-D,3619/738309-2394,,,
85530,P-436-8567234-M,3628/803432-6891,,,
85553,W-372-8567281-I,3629/066427-5042,,,
85576,X-287-8567328-W,3600/371926-4279,,,
85599,S-455-8567375-Q,3688/167607-5972,,,
85622,A-267-8567422-M,3671/378914-2359,,,
85645,G-362-8567469-A,3673/879383-3776,,,
85668,M-301-8567516-B,3668/441904-4184,,,
85691,D-242-8567563-Q,3644/792084-2631,,,
85714,N-369-8567610-K,3645/344855-1498,,,
85737,O-238-8567657-V,3615/248826-0016,,,
